netst,stlo,stla,timerange,fband,fmin,fmax,fwcen,intb,intQ,mean_free,scaling_amp,tbeg,tend,noiselevel,madratio,data_path,Q-1,fmid,vs30
CI.BBS,-116.980583,33.921391,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.09,104.72,0.2,0.166454,3.0,26.0,0.00027618,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.009549274255156608,1.5,341.0904
CI.BBS,-116.980583,33.921391,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.46,40.977,0.2,2.546905,1.0,20.0,7.9e-06,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.024403933914146962,3.0,341.0904
CI.BCW,-119.413132,34.94009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.11,42.84,0.2,3.787829,6.0,23.0,0.00475652,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.023342670401493928,0.75,359.1823
CI.BCW,-119.413132,34.94009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.429475,3.0,7.0,0.01133295,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,359.1823
CI.BCW,-119.413132,34.94009,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.1,17.136,0.2,1.252213,1.0,3.0,0.00415527,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.05835667600373483,3.0,359.1823
CI.BFS,-117.658531,34.238831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.21,22.44,0.2,7.931462,6.0,22.0,0.00173388,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.044563279857397504,0.75,900.0
CI.BFS,-117.658531,34.238831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.14,67.32,0.2,0.151592,3.0,6.0,0.00133751,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,1.5,900.0
CI.BFS,-117.658531,34.238831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.28,67.32,0.2,0.360259,1.0,8.0,0.00165575,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,3.0,900.0
CI.BHP,-118.36171,33.990528,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.18,26.18,0.2,1.684953,6.0,13.0,0.00405226,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03819709702062643,0.75,308.8676
CI.BHP,-118.36171,33.990528,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.06,157.08,0.2,0.590448,3.0,20.0,0.00236509,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,1.5,308.8676
CI.BHP,-118.36171,33.990528,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.01,1884.956,0.2,0.723891,1.0,14.0,0.00930364,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0005305163621856426,3.0,308.8676
CI.BLC,-118.673119,34.243561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.13,36.249,0.2,5.359845,6.0,16.0,0.01200129,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,0.75,546.5072
CI.BLC,-118.673119,34.243561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.25,37.699,0.2,4.861254,3.0,14.0,0.00299579,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.026525902543834055,1.5,546.5072
CI.BLC,-118.673119,34.243561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.4,47.124,0.2,3.380848,1.0,14.0,0.00034951,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.021220609455903573,3.0,546.5072
CI.BLY,-114.52375,33.750301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,0.264349,6.0,12.0,0.0057652,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,506.3247
CI.BLY,-114.52375,33.750301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.03,314.159,0.2,1.037782,3.0,15.0,0.01049877,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0031831015504887655,1.5,506.3247
CI.BLY,-114.52375,33.750301,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.21,89.76,0.2,1.411744,1.0,23.0,0.00017358,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.011140819964349376,3.0,506.3247
CI.BRE,-117.981163,33.807758,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.09,52.36,0.2,3.694628,6.0,12.0,0.02403985,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,0.75,231.8967
CI.BRE,-117.981163,33.807758,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.07,134.64,0.2,0.395348,3.0,30.0,0.00061084,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.007427213309566251,1.5,231.8967
CI.BRE,-117.981163,33.807758,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.2,94.248,0.2,2.076072,1.0,26.0,0.00010944,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.010610304727951787,3.0,231.8967
CI.BTP,-118.573982,34.68224,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.32,14.726,0.2,1.731387,6.0,10.0,0.00165066,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.06790710308298248,0.75,589.0
CI.BTP,-118.573982,34.68224,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.02,471.239,0.2,1.86725,3.0,33.0,0.00478727,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,1.5,589.0
CI.BTP,-118.573982,34.68224,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.05,376.991,0.2,1.129889,1.0,33.0,0.00108694,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0026525832181670123,3.0,589.0
CI.CAR,-119.845833,35.308189,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.09,52.36,0.2,12.370826,6.0,20.0,0.03331449,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,0.75,333.844
CI.CAR,-119.845833,35.308189,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.03,314.159,0.2,0.673582,3.0,5.0,0.02255928,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0031831015504887655,1.5,333.844
CI.CAR,-119.845833,35.308189,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.56,33.66,0.2,0.121937,1.0,3.0,0.00186119,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.029708853238265005,3.0,333.844
CI.CCA,-118.016487,35.152519,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.09,52.36,0.2,2.78132,6.0,29.0,0.00205452,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,0.75,504.993
CI.CCA,-118.016487,35.152519,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.05,188.496,0.2,0.887331,3.0,30.0,0.00139737,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.005305152363975893,1.5,504.993
CI.CCA,-118.016487,35.152519,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.01,1884.956,0.2,0.107967,1.0,15.0,0.00109289,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0005305163621856426,3.0,504.993
CI.CCC,-117.364532,35.524948,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.04,117.81,0.2,1.099814,6.0,13.0,0.0097144,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.008488243782361429,0.75,430.8667
CI.CCC,-117.364532,35.524948,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.036363,3.0,6.0,0.00131538,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,430.8667
CI.CCC,-117.364532,35.524948,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.18,104.72,0.2,0.900747,1.0,11.0,0.00411751,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.009549274255156608,3.0,430.8667
CI.CDM,-119.341438,34.368549,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,2.254409,6.0,27.0,0.0029606,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,479.1832
CI.CDM,-119.341438,34.368549,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.14,67.32,0.2,1.247451,3.0,18.0,0.00231747,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,1.5,479.1832
CI.CDM,-119.341438,34.368549,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.26,72.498,0.2,2.037166,1.0,11.0,0.00244548,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.013793483958178155,3.0,479.1832
CI.CGO,-117.802948,36.5504,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.08,58.905,0.2,0.892485,6.0,13.0,0.00666737,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016976487564722857,0.75,568.413
CI.CGO,-117.802948,36.5504,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.177164,3.0,6.0,0.0094073,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,568.413
CI.CGO,-117.802948,36.5504,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.37,50.945,0.2,2.055867,1.0,9.0,0.00258894,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.01962901167926195,3.0,568.413
CI.CHI,-119.222443,34.181561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.07,67.32,0.2,1.51908,6.0,15.0,0.00809597,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,0.75,257.1536
CI.CHI,-119.222443,34.181561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.3,31.416,0.2,2.148258,3.0,9.0,0.00397027,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,1.5,257.1536
CI.CHI,-119.222443,34.181561,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.18,104.72,0.2,1.476003,1.0,9.0,0.00379342,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.009549274255156608,3.0,257.1536
CI.CHK,-118.971184,34.067135,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.09,52.36,0.2,0.637982,6.0,15.0,0.00277887,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,0.75,756.0
CI.CHK,-118.971184,34.067135,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.26,36.249,0.2,1.33605,3.0,12.0,0.00192281,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.02758696791635631,1.5,756.0
CI.CHK,-118.971184,34.067135,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,1.04,18.125,0.2,4.230614,1.0,6.0,0.00056299,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.05517241379310345,3.0,756.0
CI.CHL,-117.683685,33.910843,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,1.150957,6.0,16.0,0.0134594,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,485.7091
CI.CHL,-117.683685,33.910843,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.15,62.832,0.2,1.097966,3.0,31.0,0.00010483,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.01591545709192768,1.5,485.7091
CI.CHL,-117.683685,33.910843,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.19,99.208,0.2,1.577753,1.0,21.0,0.00035171,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.010079832271591,3.0,485.7091
CI.CHR,-119.392693,34.729019,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,1.23963,6.0,12.0,0.02329749,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,370.2325
CI.CHR,-119.392693,34.729019,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.37,25.472,0.2,1.876003,3.0,10.0,0.0017401,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03925879396984924,1.5,370.2325
CI.CHR,-119.392693,34.729019,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.65,28.999,0.2,0.413379,1.0,4.0,0.00106908,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.034483947722335255,3.0,370.2325
CI.CIA,-118.415024,33.401897,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.03,157.08,0.2,0.979255,6.0,23.0,0.00623463,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0063661828367710714,0.75,505.574
CI.CIA,-118.415024,33.401897,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.24,39.27,0.2,0.361773,3.0,8.0,0.00161173,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.025464731347084286,1.5,505.574
CI.CIA,-118.415024,33.401897,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,2.71,6.956,0.2,1.135802,1.0,2.0,0.00072639,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.1437607820586544,3.0,505.574
CI.CJM,-117.424477,34.271172,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.17,27.72,0.2,4.9778,6.0,24.0,0.00144547,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03607503607503608,0.75,723.0
CI.CJM,-117.424477,34.271172,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.3,31.416,0.2,4.439557,3.0,17.0,0.0006916,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03183091418385536,1.5,723.0
CI.CJM,-117.424477,34.271172,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.37,50.945,0.2,0.904231,1.0,13.0,0.00013892,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.01962901167926195,3.0,723.0
CI.CJV2,-118.144501,34.529781,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.12,39.27,0.2,0.902568,6.0,17.0,0.00183557,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.025464731347084286,0.75,693.0
CI.CJV2,-118.144501,34.529781,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.18,52.36,0.2,0.456302,3.0,22.0,9.541e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.019098548510313215,1.5,693.0
CI.CJV2,-118.144501,34.529781,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.26,72.498,0.2,6.088726,1.0,28.0,9.178e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.013793483958178155,3.0,693.0
CI.CKP,-114.890404,33.555069,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.17,27.72,0.2,6.139896,6.0,10.0,0.03335029,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.03607503607503608,0.75,369.2024
CI.CKP,-114.890404,33.555069,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.14,67.32,0.2,0.463821,3.0,24.0,0.00030116,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.014854426619132503,1.5,369.2024
CI.CKP,-114.890404,33.555069,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.05,376.991,0.2,0.240988,1.0,10.0,0.00206804,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0026525832181670123,3.0,369.2024
CI.CLO,-119.008911,34.220379,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.04,117.81,0.2,2.920206,6.0,23.0,0.01080172,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.008488243782361429,0.75,299.9851
CI.CLO,-119.008911,34.220379,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.639135,3.0,25.0,0.00359737,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,299.9851
CI.CLO,-119.008911,34.220379,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.31,60.805,0.2,0.78375,1.0,18.0,7.397e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.016446015952635475,3.0,299.9851
CI.CLT,-117.316872,34.092838,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.02,235.619,0.2,0.32488,6.0,17.0,0.00357169,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.00424413990382779,0.75,268.8243
CI.CLT,-117.316872,34.092838,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.24,39.27,0.2,4.434188,3.0,30.0,6.009e-05,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.025464731347084286,1.5,268.8243
CI.CLT,-117.316872,34.092838,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.46,40.977,0.2,4.319652,1.0,13.0,0.00033158,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.024403933914146962,3.0,268.8243
CI.CPT2,-117.32502,33.341831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.14,33.66,0.2,3.082274,6.0,10.0,0.02163549,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.029708853238265005,0.75,485.7788
CI.CPT2,-117.32502,33.341831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.01,942.478,0.2,0.643788,3.0,7.0,0.0186459,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0010610327243712851,1.5,485.7788
CI.CPT2,-117.32502,33.341831,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,2.0-4.0,2.0,4.0,18.85,0.15,125.664,0.2,0.759405,1.0,13.0,0.00148303,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.00795772854596384,3.0,485.7788
CI.CRG,-119.724861,35.242199,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,0.5-1.0,0.5,1.0,4.71,0.01,471.239,0.2,0.397816,6.0,22.0,0.00350831,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.0021220654487425702,0.75,611.531
CI.CRG,-119.724861,35.242199,2020-01-01T00:00:00+0000 - 2023-01-01T00:00:00+0000,1.0-2.0,1.0,2.0,9.42,0.28,33.66,0.2,2.155321,3.0,11.0,0.00191941,10.0,/home/kffeng/DATA_CaSC/scedc_data_2020-2022/STACK_acfs_CI/,0.029708853238265005,1.5,611.531
