netst,stlo,stla,geometry,index_right,STATE,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_NAME,AGE_MIN,AGE_MAX,MAJOR1,MAJOR2,MAJOR3,MINOR1,MINOR2,MINOR3,MINOR4,MINOR5,INCIDENTAL,INDETERMIN,REF_ID,REFERENCE,GENERALIZE,DIGITAL_UR,NGMDB1,NGMDB2,NGMDB3,RuleID,FIPS_C
CC.CRST,-121.698517,43.46064,POINT (-121.698517 43.46064),8339.0,OR,Qs,Qs;0,ORQs;0,Lacustrine and fluvial sedimentary rocks,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Clay,Silt,Sand,Gravel,,,,,Peat,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,29.0,41
CC.GTWY,-121.916763,46.740162,POINT (-121.916763 46.740162),2836.0,WA,Qa,Qa;0,WAQa;0,Alluvium,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Holocene,Silt,Sand,,Gravel,,,,,"Peat, Clay",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
CC.HIYU,-121.807396,45.43523,POINT (-121.807396 45.43523),8939.0,OR,QTba,QTba;0,ORQTba;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene - Calabrian,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene - Zanclean,Basaltic-andesite,Basalt,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.HOA,-122.191833,46.241779,POINT (-122.191833 46.241779),4129.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.HUSB,-121.849358,44.119453,POINT (-121.849358 44.119453),5827.0,OR,Qba,Qba;0,ORQba;0,Basaltic andesite and basalt,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Basalt,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.JRO,-122.218262,46.275269,POINT (-122.218262 46.275269),516.0,WA,Ev1b,EOv1b;0,WAEOv1b;0,Upper Eocene volcanic rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Late-Eocene,Basalt,Basaltic-andesite,,,,,,,"Dacite, Rhyolite, Conglomerate, Sandstone, Siltstone, Shale, Clastic, Andesite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.KAUT,-121.857391,46.730263,POINT (-121.857391 46.730263),2836.0,WA,Qa,Qa;0,WAQa;0,Alluvium,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Holocene,Silt,Sand,,Gravel,,,,,"Peat, Clay",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
CC.KWBU,-121.311852,43.752399,POINT (-121.311852 43.752399),6871.0,OR,Qb,Qb;0,ORQb;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Basalt,Basaltic-andesite,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.LOO,-122.184387,46.223751,POINT (-122.184387 46.223751),4129.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.LSON,-121.647079,45.359612,POINT (-121.647079 45.359612),5175.0,OR,Qa,Qa;0,ORQa;0,Andesite,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Andesite,,,,,,,"Dacite, Basalt",,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.MAR,-122.296669,46.28532,POINT (-122.296669 46.28532),516.0,WA,Ev1b,EOv1b;0,WAEOv1b;0,Upper Eocene volcanic rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Late-Eocene,Basalt,Basaltic-andesite,,,,,,,"Dacite, Rhyolite, Conglomerate, Sandstone, Siltstone, Shale, Clastic, Andesite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.NFT,-122.256111,46.27,POINT (-122.256111 46.27),4129.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.NORM,-121.252678,43.73896,POINT (-121.252678 43.73896),6871.0,OR,Qb,Qb;0,ORQb;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Basalt,Basaltic-andesite,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.OBSR,-121.815331,46.899719,POINT (-121.815331 46.899719),4136.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.OPCH,-121.571175,46.731319,POINT (-121.571175 46.731319),415.0,WA,EOLv,EOOGv;0,WAEOOGv;0,Eocene-Oligocene volcanic rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene,Andesite,Basalt,,,,,,,"Arkose, Shale, Dacite, Rhyolite, Quartz-latite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.PALM,-121.705536,45.358574,POINT (-121.705536 45.358574),5175.0,OR,Qa,Qa;0,ORQa;0,Andesite,Phanerozoic - Cenozoic - Quaternary,Phanerozoic - Cenozoic - Quaternary,Basaltic-andesite,Andesite,,,,,,,"Dacite, Basalt",,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.PANH,-121.642593,46.859032,POINT (-121.642593 46.859032),415.0,WA,EOLv,EOOGv;0,WAEOOGv;0,Eocene-Oligocene volcanic rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Eocene,Andesite,Basalt,,,,,,,"Arkose, Shale, Dacite, Rhyolite, Quartz-latite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.PARA,-121.742149,46.786442,POINT (-121.742149 46.786442),4136.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.PR01,-122.037567,46.91011,POINT (-122.037567 46.91011),334.0,WA,E2,EO2;0,WAEO2;0,Lower upper Eocene marine and nonmarine rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Late-Eocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Middle-Eocene,Siltstone,Sandstone,,,,,,,"Conglomerate, Basalt, Claystone, Shale, Coal, Mixed-clastic",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Sedimentary, clastic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,23.0,53
CC.PR02,-122.048637,46.918304,POINT (-122.048637 46.918304),3431.0,WA,Qg,Qg;0,WAQg;0,"Glacial drift, undivided",Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Sand,Gravel,,,,,,,Unconsolidated,,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
CC.PR03,-122.032692,46.903435,POINT (-122.032692 46.903435),3431.0,WA,Qg,Qg;0,WAQg;0,"Glacial drift, undivided",Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Sand,Gravel,,,,,,,Unconsolidated,,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
CC.PR04,-121.988525,46.929749,POINT (-121.988525 46.929749),3431.0,WA,Qg,Qg;0,WAQg;0,"Glacial drift, undivided",Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Sand,Gravel,,,,,,,Unconsolidated,,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
CC.PR05,-121.94886,46.841724,POINT (-121.94886 46.841724),272.0,WA,E1,EO1;0,WAEO1;0,Upper upper Eocene nonmarine and marine rocks,Phanerozoic - Cenozoic - Tertiary-Paleogene - Middle-Eocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Early-Eocene,Sandstone,,,Siltstone,,,,,"Lignite, Conglomerate, Shale, Mixed-clastic, Mafic-volcanic",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Sedimentary, clastic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,23.0,53
CC.PRLK,-121.962639,44.209751,POINT (-121.962639 44.209751),8984.0,OR,QTba,QTba;0,ORQTba;0,Basalt and basaltic andesite,Phanerozoic - Cenozoic - Quaternary - Pleistocene - Calabrian,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene - Zanclean,Basaltic-andesite,Basalt,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.REM,-122.185501,46.200199,POINT (-122.185501 46.200199),4129.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.RUSH,-121.944389,46.903061,POINT (-121.944389 46.903061),4136.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.SEP,-122.190857,46.19978,POINT (-122.190857 46.19978),4129.0,WA,Qv,Qv;0,WAQv;0,Pleistocene-Recent volcanic rocks,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,Basalt,,,Andesite,,,,,"Dacite, Rhyolite",,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Igneous, volcanic",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,2.0,53
CC.SHRK,-121.52877,45.464317,POINT (-121.52877 45.464317),13457.0,OR,Trb,Trb;0,ORTrb;0,Ridge-capping basalt and basaltic andesite,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene - Zanclean,Phanerozoic - Cenozoic - Tertiary-Neogene - Late-Miocene - Tortonian,Basaltic-andesite,Basalt,,,,,,,,,OR392,"Miller, R.J., Raines, G.L., and Connors, K.A., 2002, Spatial digital database for the geologic map of Oregon: Geology compiled by G.W. Walker and N.S. MacLeod, USGS Open-File Report 03-67, scale 1:500,000.","Igneous, volcanic",https://pubs.usgs.gov/of/2003/of03-067/,https://ngmdb.usgs.gov/Prodesc/proddesc_16259.htm,,,2.0,41
CC.SIFT,-121.953201,46.866871,POINT (-121.953201 46.866871),3431.0,WA,Qg,Qg;0,WAQg;0,"Glacial drift, undivided",Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Sand,Gravel,,,,,,,Unconsolidated,,WA097,"Raines, Gary L., and Johnson, Bruce R., 1996, Digital representation of the Washington state geologic map; a contribution to the Interior Columbia River basin ecosystem management project, U.S. Geological Survey Open-file report 95-0684, 20 p., plus digi","Unconsolidated, undifferentiated",https://pubs.usgs.gov/of/1995/of95-684/,https://ngmdb.usgs.gov/Prodesc/proddesc_30777.htm,,,29.0,53
